Nombre,Articulos,Actual,Pais,Anterior,Year-Publication,Citaciones,H-index,Profile
Dr. Nelson J. Trujillo-Barreto,90,Manchester University ,Inglaterra,Universidad Marta Abreu,1998,4699,32,https://scholar.google.com/citations?hl=en&user=vzAGu2QAAAAJ
Dr. Edilso Reguera,396,Instituto Politecnico Nacional - Mexico,Mexico,Universidad de la Havana,1987,4495,36,https://scholar.google.es/citations?user=fneVNyAAAAAJ
Dr. Gustavo Kourí,136,IPK,Cuba,IPK,1974,4156,23,https://www.semanticscholar.org/author/Gustavo-Kour%C3%AD/4536239
Dr. Carlos Tallero,239,Latin American Center of Physics,Brazil,Universidad de la Havana,1988,3804,33,https://scholar.google.com.br/citations?user=61BjU0EAAAAJ
Dr. Gerardo Guillen,272,CIGB,Cuba,CIGB,1993,3653,33,https://scholar.google.com/citations?user=YBsaoVAAAAAJ&hl=en
Dr. Amilcar Flores Morales,86,Sanofi,Suecia,Universidad de la Havana,1997,3629,35,https://scholar.google.com/citations?hl=da&user=Kcg9HOEAAAAJ
Dr. José Miguel Álvarez,77,Universidad de Las Américas,Ecuador,Universidad Marta Abreu,2006,3227,30,https://www.researchgate.net/profile/Jose_Alvarez-Suarez
Dr. Reinaldo Rodriguez-Ramos,278,Universidad de la Havana,Cuba,Universidad de la Havana,1994,2934,28,https://scholar.google.com.mx/citations?user=3cQu8ncAAAAJ
Dr. Roberto Menendez Soto del Valle,99,Neurociencias ,Cuba,Neurociencias ,1983,2870,33,https://scholar.google.com/citations?hl=es&user=ZSRWPOQAAAAJ
Dr. Michael Fernandez Llamosa,329,University british columbia,Canada ,Universidad Marta Abreu,2000,2793,33,https://scholar.google.com/citations?user=RtufY7MAAAAJ
Dr. Lester Melie-Garcia,98,Instituto Technologico de Lausane,Suiza,Neurociencias,2001,2782,23,https://scholar.google.com/citations?user=iv1wdfUAAAAJ&hl=en
Dr. FJ Sabina,179,Universidad Nacional Autonoma de Mexico,Mexico,Universidad de la Havana,1971,2695,29,https://scholar.google.com/citations?user=mNiEc-0AAAAJ
Dr. Margarita Suarez ,159,Universidad de la Havana,Cuba,Universidad de la Havana,1991,2600,27,https://scholar.google.com/citations?user=fBZMMoAAAAAJ
Dr. Rafael Bello,331,Univesrdidad Marta Abreu,Cuba,Univesrdidad Marta Abreu,1994,2570,27,https://scholar.google.com/citations?hl=es&user=GCA03BYAAAAJ
Dr. Julián Bravo-Castillero,200,Universidad Nacional Autónoma de México,Mexico,Universidad de la Havana,1994,2520,27,https://scholar.google.es/citations?user=lzrt8goAAAAJ
Dr. Raúl Guinovart-Díaz,179,Universidad de la Havana,Cuba,Universidad de la Havana,1993,2412,27,https://scholar.google.com.br/citations?&user=xZSBKaIAAAAJ
Dr. Roberto Cao,120,Universidad de la Havana,Cuba,Universidad de la Havana,1985,2401,28,https://scholar.google.com/citations?user=f9Q7AvQAAAAJ
Dr. Juan Andres Bisset Lazcano,139,IPK,Cuba,IPK,1983,2401,27,https://scholar.google.com/citations?user=RHDziKMAAAAJ&hl=en&oi=sra
Dr. Jose Carlos Gonzalez-Gomez,51,Universidad de Alicante ,España,Universidad Marta Abreu,2000,2355,20,https://scholar.google.com/citations?user=6SbMyDkAAAAJ
Dr. María Eliana Lanio,148,Universidad de la Havana,Cuba,Universidad de la Havana,1984,2178,24,https://scholar.google.es/citations?hl=es&user=e8RjPv4AAAAJ
Dr. Ricardo Grau-Crespo,95,Reading University,Inglaterra,Universidad Marta Abreu,1998,2116,29,https://scholar.google.co.uk/citations?hl=en&user=jrtFSbQAAAAJ
Dr. Luis Javier Gonzalez,149,CIGB,Cuba,CIGB,1992,2093,27,https://scholar.google.com/citations?hl=es&user=8KupnMIAAAAJ
Dr. Eduardo Aubert,69,Neurociencias ,Cuba ,Neurociencias,1993,2093,22,https://scholar.google.com/citations?hl=en&user=9TUzHPYAAAAJ
Dr. Tirso Pons,80,CNB-CSIC,España,Universidad de la Havana,1995,2050,21,https://scholar.google.com/citations?user=XDN_SdgAAAAJ&hl=en
Dr. Mario Piris,123,DIPC & UPV/EHU & IKERBASQUE,España,Universidad de la Havana,1991,2030,26,https://scholar.google.com/citations?hl=es&user=FzQm91AAAAAJ
Dr. Eduardo Martínez-Montes,87,Neurociencias ,Cuba,Neurociencias,2001,2028,19,https://scholar.google.com/citations?hl=es&user=1RRtTngAAAAJ
Dr. Carlos Borroto,182,Centro de Investigacion Cientifica de Yucatan,Mexico,CIGB,1977,1993,22,https://scholar.google.com/citations?user=lLtmgxIAAAAJ&hl=en
Dr. Vladimir Besada,131,CIGB,Cuba,CIGB,1989,1987,27,https://scholar.google.com.cu/citations?hl=es&user=kxRj9YwAAAAJ
Dr. Alejandro Speck-Planche,83,Sechenov University,Rusia,Universidad Marta Abreu,2009,1977,29,https://scholar.google.com/citations?user=FbN8iRsAAAAJ&hl=en
Dr. Ernesto Altshuler,268,Universidad de la Havana,Cuba,Universidad de la Havana,1985,1968,25,https://scholar.google.com/citations?user=JUoHOqQAAAAJ
Dr. Mario Pablo Estrada,138,CIGB,Cuba,CIGB,1983,1931,24,https://scholar.google.com/citations?hl=es&user=MQKBYUMAAAAJ
Dr. Tania Crombet ,75,CIM,Cuba,CIM,1998,1912,20,https://app.webofknowledge.com/author/#/record/582137?SID=D5DdzFYaTCkDCsqVexe
Dr. Jorge Gavilondo,149,CIGB,Cuba,CIGB,1974,1883,25,https://www.researchgate.net/profile/Jorge_Gavilondo
Dr. Ernesto Moreno Frias,57,Universidad de Medellin ,Colombia,CIM,1992,1715,20,https://scholar.google.com/citations?user=YMbwxQ8AAAAJ
Dr. Norge Cruz Hernández,57,Universidad de Sevilla,España,Universidad Marta Abreu,1997,1580,22,https://scholar.google.es/citations?user=IXTjA1wAAAAJ
Dr. Rachel Crespo-Otero,86,Queen Mary University London ,Inglaterra,Universidad Marta Abreu,2004,1533,22,https://scholar.google.com/citations?user=WQ2GSygAAAAJ
Dr. Agustin Lage Davila,90,CIM,Cuba,CIM,1986,1316,21,
Dr. Ricardo Grau,178,Univesrdidad Marta Abreu,Cuba,Univesrdidad Marta Abreu,1986,1296,19,https://scholar.google.co.uk/citations?user=sfzukVEAAAAJ&hl=en
Dr. Lazaro Betancourt,76,Lund University ,Suecia,CIGB,1998,1281,21,https://scholar.google.com/citations?user=yI5drnoAAAAJ&hl=en
Dr. Aimé Peláiz Barranco,165,Universidad de la Havana,Cuba,Universidad de la Havana,1995,1212,18,https://scholar.google.com/citations?user=QjR0-A0AAAAJ
Dr. Marta Ayala,82,CIGB,Cuba,CIGB,1990,1205,22,https://www.researchgate.net/profile/Ayala_Marta
Dr. Rolando Pajon,60,Moderna Company ,Estados Unidos ,CIGB,1997,1062,19,https://scholar.google.co.uk/citations?user=MPnG8_4AAAAJ
Dr. Roberto Mulet ,99,Universidad de la Havana,Cuba,Universidad de la Havana,1994,990,14,https://scholar.google.es/citations?user=PtwDrzEAAAAJ
Dr. Aniel Sanchez,85,Lund University ,Suecia,CIGB ,2000,932,20,https://scholar.google.com/citations?user=vCBMFLQAAAAJ&hl=en
Dr. Joelis Rodríguez Hernández,90,"Centro de Investigación en Química Aplicada, Saltillo, Coahuila, Mexico",Mexico,Universidad de la Havana,2000,802,16,https://scholar.google.es/citations?user=eQW56HcAAAAJ
Dr. Maria G. Guzman ,188,IPK,Cuba ,IPK,1984,8698,49,https://app.webofknowledge.com/author/#/record/34286
Dr. Juan Pedro Febles Rodríguez,500,UCI,Cuba,UCI,1972,1052,11,https://scholar.google.com/citations?user=GrBYQocAAAAJ
Dr. Eduardo Menendez-Proupin,93,Universidad de Chile ,Chile ,Universidad de la Havana,1998,1440,17,https://scholar.google.com/citations?user=PF4yHIEAAAAJ
Dr. Rabdel Ruiz-Salvador,64,"Universidad Pablo de Olavide, Sevilla",España,Universidad de la Havana,1996,1670,24,https://scholar.google.com/citations?hl=en&user=ZeXKD0YAAAAJ
Dr. Luisa Marleny Rodriguez-Albelo,23,Universidad de Granada,España,Universidad de la Havana,2000,1067,13,https://scholar.google.com/citations?hl=en&user=jRMOOhEAAAAJ
Dr. Neyvis Almora-Barrios,45,Institute of Molecular Science,España,Universidad de la Havana,2001,1399,19,https://scholar.google.com/citations?hl=en&user=D02cHaQAAAAJ
Dr. Eduado Lopez-Collazo,94,Hospital Universitario La Paz,España,Universidad de la Havana,1997,2942,25,https://app.webofknowledge.com/author/#/record/508783
Dr. Naivy Hernández,134,INCA,Cuba,INCA,1991,2254,19,https://scholar.google.com/citations?hl=en&user=nOyKVx4AAAAJ
Dr. Mitchell Valdes-Sosa,133,Neurociencias ,Cuba,Neurociencias,1976,2272,27,https://scholar.google.com/citations?hl=en&user=spHf0XkAAAAJ
Dr. Raquel Bermúdez Morris,49,Cujae,Cuba,Cujae,1991,2516,13,https://scholar.google.com/citations?hl=en&user=CG2TGHEAAAAJ
Dr. Ricardo Arencibia Jorge,175,BioCubaFarma,Cuba ,BioCubaFarma,1997,1998,22,https://scholar.google.com/citations?user=krJTaKIAAAAJ&hl=es
Dr. Carmen Reinoso Cápiro,43,CITMA,Cuba,CITMA,1995,2782,13,https://scholar.google.com/citations?hl=en&user=eLoRJuMAAAAJ
Dr. MariaAantonieta Bobes Leon,162,Neurociencias ,Cuba ,Neurociencias,1986,1555,23,https://scholar.google.com/citations?hl=en&user=5-7BukUAAAAJ
Dr. Ariel Rodríguez,52,"Institut für Zoologie, Stiftung Tierärztliche Hochschule Hannover",Alemania,Ministerio Turismo,1997,1139,16,https://scholar.google.com/citations?user=CDW0vOgAAAAJ
Dr. Carlos Peniche,197,Universidad de la Havana,Cuba,Universidad de la Havana,1974,4855,40,https://scholar.google.com/citations?hl=es&user=lGTO05sAAAAJ
Dr. Jorge Portelles Rodríguez,163,Universidad de la Havana,Cuba,Universidad de la Havana,1988,2041,22,https://scholar.google.com/citations?hl=es&user=iQlo6HsAAAAJ
Dr. Guillermo Santana Rodríguez,142,UNAM,Mexico,Universidad de la Havana,1996,1597,22,https://scholar.google.com/citations?user=ckG4OdoAAAAJ&hl=es
Dr. Manuel Hernandez-Velez,114,Universidad Autónoma de Madrid,España,Universidad de la Havana,1990,2214,29,https://scholar.google.com/citations?hl=es&user=QJglTskAAAAJ
Dr. Abel Gonzalez-Perez,68,Institut de Recerca Biomedica Barcelona,España,Universidad de la Havana,2002,8662,29,https://scholar.google.com/citations?user=Wq9uhh0AAAAJ&hl=es
Dr. Karel Talavera,134,Leuven University ,Belgica,Inst Cardiol & Cirugia Cardiovasc,1998,6240,33,https://scholar.google.co.uk/citations?hl=en&user=YdqwZEEAAAAJ
Dr. Juan Carlos Antuña-Marrer,108,Universidad de Valladolid ,España,Universidad de la Havana ,1992,1258,13,https://scholar.google.com.cu/citations?user=dFA2ktEAAAAJ
Dr. Yaile Caballero Mota,126,Universidad de Camaguey ,Cuba,Universidad de Camaguey ,2001,1103,18,https://scholar.google.com.cu/citations?hl=en&user=KQwPikAAAAAJ
Dr. Evelio F. Machado Ramirez,183,Universidad de Camaguey ,Cuba,Universidad de Camaguey ,1993,1078,15,https://scholar.google.com.cu/citations?hl=en&user=_0S56A4AAAAJ
Dr. Anai García Fariñas,112,Finlay ,Cuba ,Finlay,2002,894,18,https://scholar.google.com.cu/citations?hl=en&user=ytbfBoMAAAAJ
Dr. Maribel Cuello Perez,176,Finlay ,Cuba ,Finlay ,1990,937,14,https://scholar.google.com.cu/citations?hl=en&user=eK3_XI0AAAAJ
Dr. Manuel Rodriguez Valle,277,University Queensland,Australia ,CIGB ,1988,3304,30,https://scholar.google.ca/citations?user=ljJcjpMAAAAJ
Dr. Yamila Carpio,59,CIGB,Cuba,CIGB,2002,815,15,https://scholar.google.com/citations?user=plBA54UAAAAJ
Dr. Rosa Garcia ,72,CIM,Cuba,CIM,1987,1818,22,https://scholar.google.com/citations?hl=es&user=fjUpJM4AAAAJ
Dr. Alejandro Cabezas-Cruz,142,French National Institute for Agricultural Research,Francia,CIGB,2009,1780,24,https://scholar.google.com/citations?hl=en&user=S1rBBboAAAAJ
